title,story
생존학 개론,"'기억해라.'
'하나, 둘, 셋, 넷, 다섯, 여섯, 일곱... 여덟'
'끝까지 기억할 것이다... 끝까지...'

나의 아내 줄리아가 놈들에게 짓밟힌 날, 
내 모든 삶과 목표는 뜨거운 증오로 물들었다. 

그래, 놈들을 죽여야 한다.

""복수가 끝나는 날, 나도 그녀의 옆에 묻어 줘.""

그날까지 나는, 살아남아야 한다.

목숨을 건 이 생존 게임에서..."
4000년 만에 귀환한 대마도사,"웨스트로드 아카데미의 열등생, 블레이크 가문의 수치.
괴로운 삶을 이기지 못해 죽음을 선택한
프레이 블레이크의 몸에 새로운 영혼이 깃든다.

“뭐야, 이 몸뚱이는?
하나부터 열까지 손 봐야겠군.”

대마도사 루카스 트로우맨.

열등생 프레이 블레이크의 육체로 복수의 기회를 얻다!

4000년의 시간을 넘어 귀환한
대마도사의 화려한 액션이 시작된다!"
용사고교 던전공략과,"이세계와 융합된 21세기의 지구.
몬스터들이 들끓는 '던전'과 
던전을 공략하는 '모험가'들의 시대.

그리고, 그런 모험가들을 육성하는
대한민국 최고의 엘리트 교육기관 '용사고교'

과거 아시아 최고의 모험가라 불리웠던, 
하지만 지금은 누명을 쓰고 몰락한 아버지의 병을 고치기 위해
던전 밀수업을 하던 소년 유자룡은 한 소녀를 마주친다.


""너, 용사고교에 들어와라.""


자신의 출신을 숨기고, 꿈을 잊고 있던 소년이
마침내 자신을 되찾는 이야기."
그녀와 야수,"제국의 시조였던 전설적인 인물 마티나의 죽음으로부터 백 년 후,
마티나는 귀족가의 일개 여식인 아스티나로 환생한다.

전생과 다른 평화로운 일상은 잠시,
아버지의 파산으로 인해 아스티나는
야수의 형상을 한 테리오드 대공에게로 팔려 간다.

“급소를 쳐서 기절시켰어요.”
“기…… 절시키셨다고요?”

하룻밤에 죽어 나갈 것이라는 모두의 예상과 달리
그녀는 화려한 검술로 괴물 테리오드를 제압해
애완동물로 길들이기 시작한다.

“테오, 앉아.”
“컹!”

달빛이 아름다운 어느 밤,
자신을 잘 따르는 테리오드가 기특해
아스티나는 그에게 짧게 입을 맞춰 주는데……

“……테오?”

아스티나의 애완동물이……
사람이 됐다?

결핍된 괴물 남편과 무심한 아내의 본격 조련 로맨스!

==============================

[표지 및 타이틀 로고 디자인] 송가희"
흑막을 치료하고 도망쳐버렸다,"[매주 월요일 업데이트]

좋아하는 소설 속으로 환생한 에블린.
하지만 불행하게도 그녀가 맡은 역할은, 막대한 신력을 지녔지만 이용만 당하다 비참한 죽음을 맞는 엑스트라.

백작가에 입양돼 갖은 학대와 수모를 당하면서도 신력을 쓰지 않고 버텼다. 
모든 건 이 소설의 남자 주인공, 저주받은 흑막 대공에게 납치당하기 위해서. 

""예언을 하나 들었는데, 네가 내 저주를 풀 수 있을 거라더군.""
""네, 다만 조건이 있어요. 이 제국을 떠나서 살 수 있는 돈이 필요해요."" 

살아남기 위해서는 예언 속 여신이자 여자 주인공, 코델리아인 척해야만 한다.
에블린이 원하는 건 로맨스가 아니라 자유뿐.
계약은 순조로웠다. 
……에블린이 여자 주인공이 아니라는 걸 들키기 전까진. 

""감히 날 속인 것도 모자라 도망을 쳐? 그 책임의 무게가 가볍진 않을 거야.""

결국 이대로 죽는 건가 싶어 눈을 질끈 감았는데, 

""나와 혼인하지."" 

응?! 흑막 대공이 어디가 이상하다.



*원작 : 이이리 [웹소설] 흑막을 치료하고 도망쳐버렸다"
상사의 본색,"나정에게는 못다한 '꿈'이 있다.
바로 돈 걱정 없이 그림을 실컷 그려 보는 것

연봉 높은 대기업에 입사한 후, 미술 학원에서 수업을 듣던 어느 날이었다.
갑작스레 찾아온 상반신 누드 소묘 시간.
눈앞에 나타난 모델의 정체가 나정은 낯설지 않았다.

그러니까,
왜… 팀장님이 거기서 나와요?

그는 냉철하기로 유명한 상사. 한정우 팀장이었다.
설상가상으로 나정은 수업에 참여하는 걸 들키고 마는데…!
그런데 이상하게, 그 남자의 몸이 자꾸 눈앞에 아른거린다.

""날 좋아하는 건 아니지만, 내 몸만큼은 아주 마음에 들었다?""

이 불순한 생각,
들키지 않을 수 있을까?"
취준끝에 재벌2세,"취직을 위해 악착같이 노력했지만,
현실은 빽도 운도 없는 가난한 취준생.
영양실조로 쓰러지는 순간까지 돈 걱정.

깨어나니 대한민국 최고 재벌가의 딸이자,
평판이 땅에 떨어진 프로 갑질러 싸이코 악녀
최시아의 몸에 빙의해버렸다!

그저 달콤한 꿈인 줄 알았는데,
내가 면접 봤던 회사의 경영자 자리를 쟁취하라니!
곤란할 때 나타나 퀸 메이커를 자처하는 남자.
‘강지후.’

“그러니까 하시죠, 저랑.”

계약 연애로 나를 탑전자 경영자로 만들어주겠다는데,
자꾸 ‘선’을 넘어 마음을 흔든다.
계약 연애도 정신없는데, 최시아의 ‘펫’까지.

“남의 몸으로 엮이는 건 사절인데,
남의 몸으로 어디까지 하는 거야?!”

속고 속이는 아슬아슬 체인지 로맨스의 끝은!?

----------------------------------------------------
<취준끝에 재벌2세>는 매주 월요일(일요일 22:00)에 연재됩니다."
스위치,"5명의 일진들에게 괴롭힘을 당하던 최백호는
폭력에 굴복해 비굴한 웃음을 지으며
힘겨운 중학 시절을 보내고 있었다.

어느날 일진들의 폭력에 죽음의 공포를 느끼게 된 최백호는
눈앞이 흐려지고 기억이 사라지는 '스위치 온' 상태가 되어
5명의 일진들을 모두 쓰러뜨리게 되고...

그날부터
일진들의 셔틀이었던 최백호는
몰려다니는 놈들만 보면 혼자 달려들어 무자비하게 패 버리는
일진들의 저승사자가 되고 일진들에게 공포의 대상이 된다.

절대강자 도창수가 나타나기 전까지는..."
21세기 무인,"""너희들이 열 배 강해진다면, 나는 백 배 강해질 것이다!"" 

임한은 더욱 강해지고 있다.  
약자를 유린하고 서민을 괴롭히던  
조직폭력배와 비리 정치인, 악덕 기업주들은  
한 영웅의 출현 앞에 몸을 사릴 수밖에 없다.  

이제 악의 세력은 단 한 명의 적,  
임한을 상대로 싸움을 벌여야 한다!"
"열애, 해줘요 (원제: 해줘요, 오빠)","“오빠, 좋아해요.”
“오빠, 사랑해요.”

철없던 열일곱, 친구의 오빠 최강국에게 반해 열렬한 구애를 펼친 구열애.
솔직 발칙한 들이대기로 어언 10년의 세월을 바쳤다.

바야흐로 스물일곱, 이제는 주는 것보다 받는 사랑이 고픈데……!
여전히 최강국은 최강 츤데레에 철벽남.

변화가 필요한 시점, 그들 애정전선에 꿈틀거렸다.

술에 취해 강국의 방으로 습격한 구열애,
다음 날 아침 강국의 침대에서 발견된 것이다!

‘마음이 아니라면 몸이라도 가져보겠다.’ 
음심이 작동한 여자가 선언했다.

“오빠, 놓아드릴게요. 대신, 나랑 하룻밤만 같이 있어줘요.”
“딱 한 번만.”

그리고, 약속한 하룻밤이…… 도래했다.

과연 열애는 강국을 놓을 수 있을까?
혹시, 하룻밤의 효과 같은 로설의 법칙을 실현시키고자 하는 열애의 거대한 설계는 아닐까?

구애보다 열애가 하고 싶은 ‘10년 짝사랑녀’ 구열애, ‘최강 츤데레남’ 최강국을 낚을 수 있을까?"
너를 소유하는 법,"24년간 손과 발이 단단히 묶인 채로 살아왔다.
머지않아 정략결혼까지 하게 된다면, 완전히 철창 안에 갇힌 새가 되고 말 것이다

아버지를 향한 반항심으로, 태어나 처음으로 클럽에 간 날.
이름 모를 낯선 남자의 손이 아라의 속옷을 움켜쥐려던 그 순간,

""아가씨, 여기 계셨습니까?"" 

아라의 첫사랑, 경호원 윤.
5년 전, 아무런 말도 없이 사라졌던 그가
마치 꿈속에서 나타난 듯 문가에 떡하니 서 있었다.

""회장님께서 애타게 찾고 계십니다.""
""나쁜 놈⋯⋯ 5년 만에 나타난 주제에."" 

아버지의 충견으로 180도 다른 사람이 되어 돌아온 윤을 되찾기 위해,
아라는 윤이 감추고 있는 비밀을 본격적으로 파헤치기 시작하는데.

과연 두 사람은 서로를 온전하게 소유할 수 있을까?"
"황녀, 반역자를 각인시키다","호문클루스에 의해 황실은 망하고 제7황녀, 이뷔엔로즈는 그들 편에 선 동생에 의해 독약을 마시고 죽는다. 다시 눈을 떴을 때, 8년 전으로 돌아와 있었고 그녀는 황실의 몰락을 막기 위해 호문클루스들의 왕이자 공중감옥의 괴물 '미카엘'을 자신의 기사로 들이기로 한다.

""미카엘, 난 그대가 필요해. 아주 절실하게 말이야."""
아기가 생겼어요,"윤리적 교육적으로 완벽한 선생님을 꿈꾸던 장희원은 하룻 밤의 일탈로 임신을 하게 된다.
설상가상으로 아기아빠는 제자의 삼촌이자 학교 이사장인 강두준인데.
덜컥 결혼부터 하자는 이사님께 제대로 낚인 장희원의 아슬아슬한 로맨스 드라마!"
