title,story
스윙 배이비 [BL],"#오피스물#리맨물#댕댕이공#금수저공#돌+ I수#내일이없수

어느날 ＂윤서오＂라는 남자가 낙하산을 타고 하늘에서 뚝 떨어졌다.
만년 주니어 배이비(베이비)는 주니어 딱지를 떼기 위해
게임〈보스 메뉴얼〉대로 윤서오(존슨)를 공략하는데...
그는 배이비의 승진 동아줄이 될 수 있을까?"
심봉사전,"장님이어도 그의 칼끝은 보이는 것처럼 날카로웠으니. 성은 심이요, 이름은 학규로다."
신형빈 불후의 액션 패키지,"액션 전설 신형빈 베스트 컬렉션!
(본 패키지는 전연령 버전으로 개정된 개정판입니다. 일부 삭제되거나 수정된 페이지가 존재합니다.)

※수록작품
1. 도시정벌 7부(개정판)
2. 도시영웅(개정판)
3. 꽃투(개정판)
4. 도시정벌 디퍼런스 1,2부(개정판)"
취향의 발견,"[매달 1번째, 3번째 금요일 연재]
여자친구에게 일방적으로 차인 재준은 속상한 마음에 친구들과 술 약속을 잡은 바 '피치'에서 기다린다.
헌데 약속 시간이 지나도 친구들의 모습은 보이지 않고, 바 안에는 같은 사내들만 득시글대며 묘한 분위기를 자아낸다. 자신이 들어온 곳이 동명이인의 게이 바인 것을 알고 나가려는 재준에게 10년 전 동경했던 고등학교 선배 강윤재가 다가오는데..."
살생부,조선초 단종복위운동을 배경으로 한 하드코어 액션사극.
헤븐 투 헬,"신앙심 깊고 고귀한 대천사장 '아사엘’은 
어느 날 신으로부터 한 가지 명을 받는다. 

제2의 메시아 탄생을 위해 새로 간택된 
예비성모 ‘마리얌’을 천국으로 데려오라는 것.

한달음에 찾아간 그녀는 예상과도 너무나 달랐으니.
융통성 제로의 율법 꼰대 아사엘, 
개차반 견습 수녀 마리얌과 만나다!

상극의 성격을 지닌 두 사람의 만남으로 
신의 계획은 여러 번 위기를 맞지만
천국으로 향하는 여정에서 갖가지 난관을 함께 넘기는데…

누구보다 신앙심 깊었던 대천사 아사엘이 
아홉 지옥의 나락으로 떨어진 사연은? 

지옥의 가장 깊은 밑바닥에서 천국의 가장 높은 꼭대기까지, 
신을 죽이기 위한 복수의 여정을 시작하게 된다."
공략은 틈새부터,"학교 선배인 한지윤을 짝사랑 하는 한서.
선배의 옷에서 좋은 향기가 나는 것 같아 무심코 냄새를 맡게 되는데...
그 장면을 하필이면 선배의 룸메, 윤지윤에게 들켜버렸다.
윤지윤은 한서의 비밀을 지켜주는 대가로 살 곳이 필요하다며 동거를 제안한다.

""잘 부탁해, 집주인님♥"""
생존인간,학교는 나의 유일한 안식처였다. '그것'이 나타나기 전까지...
옆집남자와 소설가와 기묘한 이야기,"조금 특이하지만 잘나가는 소설가의 옆집에 한 남자가 이사 오게 되고, 그로인해 소설가는 무언가가 조금씩 변해간다. 그리고 마침내 이야기는 끝을 맺게 되는데."
아수라발발타,본의 아니게(?) 신내림을 받은 한 남자의 미스터리 이야기
강비서와 도련님[선연재][BL],"국내 굴지의 대기업, 대윤그룹의 망나니 사생아 윤희수.

""앞으로 도련님의 품행교육은 제 담당이니까.""
""…….""
""아무도 신경쓰지 말아주십시오.""

희수의 일거수일투족을 감시하며 그를 통제하게 된 비서 강주찬,
그리고 그에게서 벗어나고 싶어 발버둥치는 도련님 윤희수.
10년 간 그들은 서로를 길들이며 그렇게 함께 지내게 된다."
묵검향 천산출두 컬렉션,"신년특집 2021 퍼스트 신작,
""독표무적"" 오픈을 기념한 특별 패키지 출두!
상상불가 기상천외 무림방랑기가 시작된다!

※수록작품
1. 흑룡 1,2부
2. 창천비도
3. 천마혈황
4. 구천십지"
소년의 신성,"드디어 모습을 드러낸 '몬스터'와 윤상필...
더욱 더 견고해진 반일진 연합 '와일드 래빗'에 전쟁을 선포하다!!
소년들의 삼국 전쟁, 과연 그 최후의 승자는..?!"
소년이여,"""끝이다. 소년이여.""

용진은 남동생 용주가 학교에서 자살 시도를 했다는 소식을 듣는다.

절대 그럴 리 없다고 생각한 용진은
직접 고등학교를 찾아가 선생들을 만나게 된다.

하지만 학교 측에선 학생들끼리의 작은 다툼이라며
사건을 덮기 위해 급기야 용주를 가해자로 몰아간다.

폭력으로부터 학생을 보호하는 올바른 교육 현장,
가해자를 벌하는 정의로운 사회…

더 이상 현실에 존재하지 않는다고 생각한 용진은
직접 가해 학생들을 벌하기로 한다…!

통쾌한 액션, 하드보일드 전개.
온몸에 흐르는 전율! 카타르시스!

'사실 가해자도 알고 보면 불쌍한 녀석들이에요'
-> 그런 거 없다!
--------------------------------
*매주 금요일 00시에 외전이 연재됩니다.*"
CELL,"“세상은 계급이다. 
모두가 그 사실은 감추려고 하고, 부정하려 하지만, 세상은 계급이다.”

집안의 사업 실패와 그로 인한 부모의 죽음 탓에 바닥으로 추락한 고등학생. 
모든 희망이 사라진 청춘에게 어느 날 초능력이 생겼다! 

핸드폰 배터리 충전 말곤 쓸모도 없던 그 힘이, 
딱 한 계단만, 한 계단만 더... 올라가고 싶은 그의 욕망을 충전하는 순간, 
돌이킬 수 없는 소용돌이에 빨려든다!"
한 번만 부탁해! [BL],"반인반호(여우)인 남지호를 인간이 될 유일한 방법은 예로부터 내려오는 구슬을 먹은 인간과 하룻밤을 보내는 것.

하지만, 그 구슬을 실수로 삼켜버린 인간은 남자인 고건우.
이제 지호가 인간이 될 수 있는 방법은 같은 남자인 건우와 하룻밤을 보내는 방법 뿐.

예쁜 여자와 알콩달콩 연애 후 뜨거운 밤을 보내며 인간이 되는 상상만을 했던 지호는 그렇게 뜻하지 않게 남자인 건우에게 거짓 구애를 시작하게 되고, 건우는 계속 지호에게  철벽을 치는데… 과연 지호는 인간이 될 수 있을까?"
인투잇,"드라마 촬영장에서 만난 국민배우와 신인배우.

""저, 잘 했나요...?""

현실과 드라마를 넘나드는 아슬아슬 줄타기 로맨스 한판!"
최강의 냄새,예민한 후각탓에 사람의 감정을 알 수 있는 최강고에게 좋아한다는 감정으로 뭉친 남자가 다가오게 된다.
삐딱한 기억 사전,"""친구가 내 앞에서 자살하려 한다면 어떻게 해야할까?'
지난 날의 우울을 모아 만든 기억 사전.
나, 여기에서, 살아남을 수 있을까?
ㅡ 삶에 이리저리 치이며 무너지지 않게 힘겹게 버티고 있거나, 어쩔 수 없이 무너져버린 나를 보살피고 있는, 혹은 그 누구에게나 공감이 될 수 있는 이야기. 지금 시작합니다."""
일진의 크기,"197센티의 일진 최장신은 큰 키만큼 성적도 우수하고 운동 실력도 출중해 인기가 많다. 하지만 아무런 가책 없이 반 친구를 빵셔틀 안마셔틀로 부리고, 단지 거슬린다는 이유로 친구에게 폭언하고 손을 쓴다. 아무런 자각이 없다. 이렇게 만족스럽게 생활하던 어느 날, 장신은 온몸이 저리고 열이 끓어 쓰러지고 만다. 이후 성장 축소 증후군이 발병한 최장신은 자신이 한참 내려다보던 셔틀들과 눈높이가 같아지고, 달라진 시선의 높이만큼 주위 분위기가 급변하는 것을 느낀다. 한순간에 최단신으로 전락한 특수한 상황 속에 초조해지는데…. ⓒ윤필,주명"
야설록 최후의 일격 컬렉션,"<야설록 최후의 일격 컬렉션> 작품구성

1. 무림사계 [개정판]
2. 검향록 [개정판]
3. 초혼검웅록 [개정판]"
비정자객사 [개정판],"그날 나는 죽었고, 그날 나는 다시 태어났다.
그날 나는 선택했고, 그날 이후 내 인생은 달라졌다!

간절한 삶의 욕구가 만들어낸 기적 같은 운명과 인연!
특급자객 류! 무림맹 교관 용천산!

이제 나는 최후의 선택을 해야 한다.
나는... 누구로 살아갈 것인가?"
어둠이 걷힌 자리엔,19nn년 경성의 한구석에 자리한 특별한 가게. 그곳에 모이는 기기묘묘한 사연들
