title,story
루루라라 우리네 인생,"시간이 지나면 자연스레 성숙한 으른(?)이 되어 있을 줄 알았는데
그저 술과 음란한 이야기를 좋아하는 알딸딸한 어른이 되어버렸다. 
 
어느날 귀농을 결심한 부모님을 따라 
어쩌다보니 시골과 도시를 오가게 된 현이씨의 인생 제 2막 시작!"
이별 후 사내 결혼,"대기업 K&C 공식 사내 커플인 다원과 태현, 
결혼까지 탄탄대로일 것 같았지만 태현의 바람으로 헤어지고 
그 상대가 태현과 같은 부서의 신입사원 유정이라는 것을 알고 충격에 빠진 다원

그런 그녀를 오래전부터 바라보고 있었다는 남자가 나타났다! 
근데 그 남자가 K&C 만인의 이상형, 제 팀장님이라고요?!"
더블클릭,"악명 높은 난이도를 가진 게임의 세계 랭킹 1위였던 지호.
서비스 종료된 줄만 알았던 그 게임이 새롭게 돌아왔다!
지호는 다시 한번 랭킹 1위를 꿈꾸며 게임 동아리에 입부한다.
오랜만에 게임을 해도 살아있는 감각. 하지만 게임이 새롭게 변하면서 예상치 못한 약점이 생긴다.
강한 상대를 마주할수록 열정이 끓어오르는 주인공의 프로게이머 도전기!"
결혼생활 그림일기,"고르고 골라 결혼했더니 매일매일 우당탕탕?!
결혼생활이란 무엇인가?
조용할 날 없는 결혼생활을 날 것 그대로 그렸다.
모자르고 부족했던 두 짐승이 만나 그려가는 결혼생활 그림일기!"
"또다시, 계약 부부","서로에게 강한 이끌림을 느꼈던 건하와 서연, 
하지만 전혀 다른 삶을 살아왔던 두 남녀는 짧은 결혼 생활을 마치고 결국 이혼을 선택한다. 
5년 뒤, 건하는 서연에게 또 한 번 '계약 부부'를 제안한다. 
""나와 다시 부부가 되어줘야겠어. 이번엔 꽤 사이좋은 부부로 말이야."""
악취해결사,"""이 지긋지긋한 마스크...!!""
태어나서 한 번도 마스크를 벗은 모습으로 나가본 적 없는 김무명.
사람들의 부정적인 감정이 내뿜는 악취를 맡을 수도, 볼 수도 있는 무명이 가장 뒤가 구리다는 소문의 명문 고등학교에 진학하게 된다.
끊임없이 마주하는 악취들과 사건들 사이에서 무명은 앞으로 이 학교에서 잘 버틸 수 있을까?"
랭커,"극비리로 진행되는 멤버쉽 온라인 게임 <랭커>.

우연히 랭커에 뛰어든 격투기선수 강준서.
어느 순간부터 상대가 괴물로 보였던 준서는 자신의 플레이어인 정준의 목소리를 통해서 안정을 되찾고,
정준과 함께하면서 증세를 치료하고자 마음먹는다.

하지만 랭커에는 목숨을 걸어야 하는 퀘스트뿐 아니라,
캐릭터끼리 벌이는 배틀과 사냥의 위협까지 도사리고 있다."
"아, 쫌 참으세요 영주님!","작고 가난한 영지 ‘화이트’의 영주, 로즈.
영주민들과 오순도순 잘 먹고 잘살고 싶었는데, 갑자기 이종족 이주민이 늘고 자꾸 사건에 휘말린다?! 
막강 능력 영주님 ‘로즈’와 그녀를 영지에 몰래몰래 숨겨 놓고 보호하고픈 스승, ‘대마법사 이그드라실’의 유쾌 발랄 로맨스 판타지!"
고백어택,"하나는 언제나 2등이었다. 늘 1등을 하는 한건우 때문에!
속을 알 수 없는 건우를 무너뜨리기 위해 수단과 방법을 가리지 않던 하나.
이번에는 가짜 고백으로 멘탈을 흔들려 했는데...
어라, 얘 이 고백 왜 받지? 뭐... 내가 좋다고?!"
리턴 투 플레이어,"어느 날, 게임이 되어버린 세상.
갑자기 나타난 몬스터들이 사람들을 죽이고, 사람들은 플레이어가 되어 퀘스트를 달성해야 한다!
인류의 종말에서 회귀한 2회차 플레이어, 김세한.
그는 과연 세상을 이렇게 만든 '시스템'을 쳐부술 수 있을까!"
