title,story
up팔천의 독,동양풍 판타지 세계관에 떨어진 강력계 형사의 모험 수사극
up부탁해요 귀신님,귀신을 무서워하는 내가 사랑하는 그 애에게 귀신이 붙어있다. 위험한 걸 알지만…
up게놈헬,"누군가가 원하는 정보를 알려주는 헤븐(천국)이라는 곳, 그곳에서 벌어지는 인간의 욕망과 광란의 사.."
up담벼락,우리동네에 이런 담벼락이 있었나..? 어..?어?..
프라이데이,2004년 4월 4일 4시 44분 44초에 태어나 불행할 운명을 타고난 한별의 금요일에 관한 이야..
카페 아이매뉴얼,맛있는 디저트와 위로가 가득한 카페 아이매뉴얼로 놀러오세요. 당신만을 위한 '나 사용법&..
Feisty,대학2학년이 된 미소년 신재호. 그는 타 과 선배인 설가연에게 반해 고백하고 사귀게 된다. 그리고..
해체부대,폐급이 되고 싶은 S급 인간과 태생이 폐급인 도깨비들의 감동 실화 이야기
늪의 울음,"우연히 얽혀들게 된 사건, 그 뒤에 숨은 거대한 음모."
주린이 조힝옥,매번 주식으로 손실을 보는 점장을 3년간 관찰한 편의점 알바 조힝옥은 점장과 반대로 매매를 시작한..
서울별곡,세 사람 이야기.
스틱,Corea무브
힘나의 수영일기,수영잘하고 싶은 아줌마
한국史 인물열전 무신 편,한국史 인물열전 [무신 편] 한국의 역사적 인물들에 대해 다루는 역사만화로 [무신]들을 모은 작품..
이머전시 부용附庸,분단 70년의 한 이제 누군가는 끊어 내야 하디 않갔소! 조선반도 통일대전쟁의 시작!
비젼캠프,찐따왕따최고찌질남일대기
부부사기단늬우스,구영필 作 / 어느 방귀쟁이 식탐부부의 이야기~금요일 연재
공중정원,각자의 목적을 숨긴 채 죽어가는 도시를 살리기 위해 폐허가 된 유적지로 여정을 떠나는 일곱.
공포웹툰 축시,공포 단편선
쭈꾸미 외계인,다섯 마리 쭈꾸미 외계인들의 고군분투 지구 적응기
오미진 이야기,자폐성 발달장애인 작가가 직접 그리는 '웹툰작가 지망생 오미진'의 직장생활툰
4시간 너와 나의 거리,다 크지 못한 결핍있는 어른들의 로맨스 내용물은 외적인 모습과는 다르게 다 크지 못한 어른이들의 ..
